title,link,company,location,salary,time_posted
Docente de Matemáticas y Física,/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-matematicas-y-fisica-bilingue-nivel-minimo-b2-en-bogota-dc-9E10FE13E5536C4D61373E686DCF3405#lc=ListOffers-Score4-0,GRUPO EDUCATIVO MONTERROSALES,"Bogotá, D.C., Bogotá, D.C.","$ 3.650.000,00 (Mensual)Presencial y remoto",Hace  7  horas
Profesor en matemáticas y física,/ofertas-de-trabajo/oferta-de-trabajo-de-profesor-en-matematicas-y-fisica-tiempo-completo-villavicencio-en-villavicencio-2F06A0B45F8B0A6761373E686DCF3405#lc=ListOffers-Score4-1,Corporación Universitaria Minuto de Dios,"Meta, Villavicencio",No especificado,Hace  10  horas
docente,/ofertas-de-trabajo/oferta-de-trabajo-de-docente-educacion-fisica-bachillerato-en-cota-085ADA0BD451D1B061373E686DCF3405#lc=ListOffers-Score4-2,Summerhill School,"Cundinamarca, Cota","$ 2.601.000,00 (Mensual)",Hace  12  horas
Profesor Educación Física,/ofertas-de-trabajo/oferta-de-trabajo-de-profesor-educacion-fisica-en-bucaramanga-0743B377993E711461373E686DCF3405#lc=ListOffers-Score4-3,COMPAÑIA DE JESUS,"Santander, Bucaramanga","$ 2.900.000,00 (Mensual)",Ayer
Docente de fisica,/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-fisica-con-experiencia-en-popayan-F352A5926D322B9961373E686DCF3405#lc=ListOffers-Score4-4,Comunidad de Hermanos Maristas de la enseñanza,"Cauca, Popayán","$ 2.857.000,00 (Mensual)",Ayer
Docente de Física Bachillerato,/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-fisica-bachillerato-bilingue-ingles-c1-en-monteria-8C826F6BE94CC39D61373E686DCF3405#lc=ListOffers-Score4-5,GEORGE S NOBLE SCHOOL S.A.S.,"Córdoba, Montería",No especificado,Hace  3  días
Docente de Educación física,/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-educacion-fisica-licenciado-titulado-en-bucaramanga-7AC1D6054A7218EB61373E686DCF3405#lc=ListOffers-Score4-6,Fe y Alegria de Colombia D.Nacional,"Santander, Bucaramanga",No especificado,Hace  3  días
docente,/ofertas-de-trabajo/oferta-de-trabajo-de-docente-educacion-fisica-en-bogota-dc-48D4E7D300F3C2C961373E686DCF3405#lc=ListOffers-Score4-7,Provincia de Nuestra Señora de Gracia de Colombia,"Bogotá, D.C., Bogotá, D.C.",No especificado,Hace  5  días
"Docente universitario, educacion fisica o deportes con maestria",/ofertas-de-trabajo/oferta-de-trabajo-de-docente-universitario-educacion-fisica-o-deportes-con-maestria-bogota-3-horas-semanales-nocturno-en-bogota-dc-30BCC432BEC53E8D61373E686DCF3405#lc=ListOffers-Score4-8,No disponible,"Bogotá, D.C., Bogotá, D.C.",No especificado,Hace  5  días
Profesor matemáticas y física bilingüe,/ofertas-de-trabajo/oferta-de-trabajo-de-profesor-matematicas-y-fisica-bilingue-en-bogota-dc-E6ADCE0CB87FCBD961373E686DCF3405#lc=ListOffers-Score4-9,GRUPO EDUCATIVO MONTERROSALES,"Bogotá, D.C., Bogotá, D.C.","$ 3.650.000,00 (Mensual)Presencial y remoto",Hace  1  hora
Docente Preparación Física,/ofertas-de-trabajo/oferta-de-trabajo-de-docente-preparacion-fisica-y-entrenamiento-deportivo-en-cali-F3079DB1EFCF0F4561373E686DCF3405#lc=ListOffers-Score4-10,Institución Politécnico de Occidente,"Valle del Cauca, Cali","$ 1.500.000,00 (Mensual)",Hace  6  días
Docente de matemáticas y física licencia por maternidad,/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-matematicas-y-fisica-licencia-por-maternidad-ie-puerta-de-oro-barranquilla-en-barranquilla-D419729178BDA12661373E686DCF3405#lc=ListOffers-Score4-11,Fe y Alegria de Colombia D.Nacional,"Atlántico, Barranquilla",No especificado,Hace  7  días
Profesor de Matemáticas y Física,/ofertas-de-trabajo/oferta-de-trabajo-de-profesor-de-matematicas-y-fisica-con-experiencia-en-bogota-dc-2F0A6397F61F5ED061373E686DCF3405#lc=ListOffers-Score4-12,Colegio San Pio x,"Bogotá, D.C., Bogotá, D.C.",No especificado,21 de septiembre
Docente de fisica,/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-fisica-l-en-bogota-dc-21732B27A9A5905861373E686DCF3405#lc=ListOffers-Score4-13,Inversiones Celefrey S.A.S,"Bogotá, D.C., Bogotá, D.C.","$ 2.746.000,00 (Mensual)",18 de septiembre
